ParlaMint-FR_2018-10-15-O1018.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-15-O1018.u270	Mrs Marie-Christine Dalloz, Secretary of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2018-10-15-O1018.u271	I understand, Mr Minister, that you wanted to honour the commitments signed by France, at European level, within the framework of the TSCG. But your explanation is all the more worrying because it is based on the argument of a structural deficit of 0.3%. This is not true: as the High Council for Public Finance has indicated, this deficit stands at 0.2%. The 0,1 % surtax induced by SI's fifth advance payment is not recorded as a structural measure. So stop using honesty and good faith, even though the High Council for Public Finance states that this measure is only cyclical, so that the adjustment amounts to 0.2% and not 0.3%. I understand you want to move closer to the 0.5% figure, but we are at 0.2%. So the delta is a little bigger than you suggest.
ParlaMint-FR_2018-10-15-O1018.u272	The Minister has the floor.
ParlaMint-FR_2018-10-15-O1018.u273	I would like to see exegesis and to be more Commissioner than the members of the Commission themselves. But I invite Mrs Dalloz to read the report of the High Council for Public Finance in its entirety. As a reminder, it indicates that SI's fifth down payment induces the adjustment you say if it only lasts one year. The Minister for Economic Affairs and Finance has told you in committee that it will be presented every year, and that we will be talking about it in the House when we talk about corporate tax. In passing, I would point out that the fifth instalment of IS was you who, I believe, set it up under the chairmanship of Mr Sarkozy, that is to say under a government that we supported collectively at that time. It can be regarded as a justified cash advance, as the rapporteur-general has pointed out, especially since next year it will be double counting, if you pass the phrase on to me. So it's not a tax increase. If you will allow me this other expression, Mrs Dalloz, the measure will be ritual, since, I repeat, the Minister of Economy and Finance presented it as such in committee. Your question, which echoes that of the High Council, would only be valid if this measure were taken only one year to reach an adjustment of 0.3%. So your criticisms don't seem to me to be very well founded.
ParlaMint-FR_2018-10-15-O1018.u274	All right!
ParlaMint-FR_2018-10-15-O1018.u275	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-10-15-O1018.u276	The rapporteur-general points out in his report that the High Council for Public Finance has considered realistic the assumption of continuous growth of 1.7% of GDP per year. He forgets, however, to recall the opinion of 24 September 2017 that the High Council states that this assumption is not realistic and even impossible beyond 2019. As for the minister, he is legally wrong.
ParlaMint-FR_2018-10-15-O1018.u277	But he's politically right.
ParlaMint-FR_2018-10-15-O1018.u278	Indeed, the text provides that the acceleration of the payment of the fifth instalment is exceptional. However, it was in relation to the drafting of the text submitted by the Government that the mechanism should be judged, not on the basis of a statement by Mr. Le Maire in committee.
ParlaMint-FR_2018-10-15-O1018.u279	The budget is annual.
ParlaMint-FR_2018-10-15-O1018.u280	The High Council believes, however, that this is an exceptional measure, and therefore that the reduction of the structural deficit cannot be 0.3 points, but that it will be limited to 0.2 points, an analysis which I agree with as it stands. You know, ministerial promises commit only those who receive them; What is really going on is an amendment voted by Parliament.
