ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u97	[[Protests on the benches of the LaREM group]] Again, ladies and gentlemen of the majority, I invite you to reflect on your vote. [[New exclamations on the banks of the LaREM Group]] [[Applause on several benches in the FI group. – Protests on the benches of the LaREM group]] I do not know if my colleague Jean-Hugues Ratenon intends to publish the names of the voters on Facebook, but I believe that we must reflect on our vote when, so clearly, all the elected members of the islands have spoken on this article and you have been applauded only by metropolitan elected representatives.
ParlaMint-FR_2018-10-18-O1024.u98	Think, for your part, about the parliamentary function!
ParlaMint-FR_2018-10-18-O1024.u99	And work on your files, it'll change!
ParlaMint-FR_2018-10-18-O1024.u100	Mr. Serge Letchimy has the floor.
ParlaMint-FR_2018-10-18-O1024.u101	I have asked for the floor again, Mr President, to clarify a problem and to remove any ambiguity. It is true, Madam Minister, that you, personally, have never spoken of helping overseas to learn about taxation, but that has been said.
ParlaMint-FR_2018-10-18-O1024.u102	Not in the terms you claim.
ParlaMint-FR_2018-10-18-O1024.u103	You said, in committee, that the allowance scheme was introduced in 1960 to make the overseas country pay the tax.
ParlaMint-FR_2018-10-18-O1024.u104	It is even the verb "acclimater" that has been used...
ParlaMint-FR_2018-10-18-O1024.u105	Yes, and it's even worse! Do you know the Jardin d'acclimation, in the Bois de Boulogne?
ParlaMint-FR_2018-10-18-O1024.u106	I didn't use that term.
ParlaMint-FR_2018-10-18-O1024.u107	It's your majority!
ParlaMint-FR_2018-10-18-O1024.u108	My majority? In 1960?
ParlaMint-FR_2018-10-18-O1024.u109	[[Applause on the SOC, LR, FI and GDR benches]] I'm not bringing you a trial of intent, Madam Minister. I have simply allowed myself to correct this mistake by reminding you that we have been paying taxes since 1866: tax autonomy was then granted to Martinique; then it was deleted for the benefit of another system; Later, in 1947, income tax was introduced. It's not from 1960. We didn't need learning lessons. We are neither children nor babies; We are able to pay tax like everyone else! It seemed to me important to remind him because you are in the process of creating a moral dispute. I am not saying that to stigmatise my colleague, but because she did not want to speak today and she does not know the story. However, the officials of the Hexagon who came to work at our house were compensated for 60% of the allowances, while the poor Réunionnais and Antillais had absolutely no right to anything! The measure you are calling into question was therefore a matter of social justice. You speak of equality, but according to article 73 of the Constitution, equality can justify different measures when situations are different. It is because our economy is special that this reduction has been decided. Why do you want to delete it now? Madam Minister, excuse me, but you know that I am a sincere supporter of what is called economic emancipation, of a new economic democracy, because, in the background, it is a question of getting out of the economy of planting and massive imports. I'm not the one who wants to stay arch-bouted on taxation as it is,...
ParlaMint-FR_2018-10-18-O1024.u110	Thank you, my dear colleague!
ParlaMint-FR_2018-10-18-O1024.u111	[[Applause on the SOC, LR and GDR benches]] ...but how can you put an end to this system with such virulence, without putting in place a development plan for these territories?
ParlaMint-FR_2018-10-18-O1024.u112	Mr Gilles Le Gendre has the floor.
ParlaMint-FR_2018-10-18-O1024.u113	[[Applause on a few benches of the LaREM, MODEM and LR groups]] Who doesn't see the trap in this debate? You are trying to establish a divide between the representatives of the Overseas Territories and the rest of the national representation. My parliamentary group does not wish to enter into this dialectic and fall into this trap. I fully understand that the representatives of these territories can be called upon to defend their position. I respect it – I respect as much as the members of my group – and I am not even sure that I would not defend the same line if I were in their place.
ParlaMint-FR_2018-10-18-O1024.u114	[[Smile]] What a man of conviction!
ParlaMint-FR_2018-10-18-O1024.u115	[[Exclaims]] Nevertheless, the duty of national representation is to defend the general interest and, in this case, it is a matter of answering very clearly two or three simple questions.
ParlaMint-FR_2018-10-18-O1024.u116	They're not defending it, are they, the general interest?
ParlaMint-FR_2018-10-18-O1024.u117	Let me finish. Collectively, no. The role of the democratic debate is to bring out this general interest, and we are trying to achieve this through a controversial but absolutely legitimate debate. [[New exclamations]] I come back to these simple questions. Objectively, have the tax advantages granted, on which we wish to return, served the development of the overseas territories in the past?
ParlaMint-FR_2018-10-18-O1024.u118	Of course I do!
