ParlaMint-ES_2015-04-29-CD150429.u1	The meeting was resumed.
ParlaMint-ES_2015-04-29-CD150429.u63	Thank you, Mr. President. Madam Member, you are making a really incoherent and absurd approach. [[Rumors]] The results of the policy in which I have had the honour of serving in this legislature are translated into growth, employment, welfare improvements and social protection. Or don't they translate into that? Isn't that the result? Is there no greater effectiveness in the fight against tax fraud than has ever been the case? Why don't you ask yourself why Mrs Salgado and Mr Solbes didn't discover a single heritage outside of Spain? Didn't that happen to you? You do give lessons of everything! Of ruining the country, of course they have the exclusive, and of using public resources, as is being demonstrated in very important autonomous governments, in a rather suspicious way at least, they also have the upper category. From there, honourable Member, if you have any specific problems with my person, of course I am willing to explain it to you whenever I want. Do you know what's going on? That the Socialist Party does not want to talk about the economic realities of Spain; what it really wants is to get the ground dirty and not to talk about... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u64	Thank you, Minister. - DON GABRIEL ECHAVARRI FERNÁNDEZ, OF THE SOCIALIST PARLIAMENTARY GROUP, WHICH FORMS TO THE MINISTER OF AFFAIRS AND PUBLIC ADMINISTRATIONS: HOW DOES THE MINISTER OF AFFECTING THE AMBASSADOR OF SPAIN IN THE UNITED KINGDOM OF THE TRIBUTARY AGENCY FILTERING DATA AFFECTING HIM? [[File number 180/001292]]
ParlaMint-ES_2015-04-29-CD150429.u65	Question also addressed to the Minister for Finance and Public Administration, Mr Gabriel Echávarri, Member of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u66	Thank you, Mr. President. How does the Minister of Finance rate the accusations of the Spanish ambassador to the United Kingdom to the Tax Agency of filtering data that affects him?
ParlaMint-ES_2015-04-29-CD150429.u67	Thank you, Mr. Congressman. Minister.
ParlaMint-ES_2015-04-29-CD150429.u68	Thank you, Mr. President. I'm not making any public assessment. Mr Trillo has referred to his concern about information that has appeared - which he understood as leaks - from ongoing investigations. In this respect, I must insist before the House that leaks should not anticipate the findings of such investigations. It should be recalled in this area, as the Vice-President did after the past Council of Ministers, that all officials have an obligation to remain confidential in relation to the investigations they are conducting. From there, of course, it does not correspond to any other assessment other than that which Mr Trillo himself is publicly expressing. Thank you, Mr. President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u69	Thank you, Minister. Mr. Echávarri.
ParlaMint-ES_2015-04-29-CD150429.u70	The least is filtration; the most serious is the fact. In the United Kingdom, he resigned a minister for concealing a traffic ticket and you send an ambassador from Spain to a gentleman who hid from Parliament the charge of EUR 354,000 for whispering in the ear of an entrepreneur. Is that the image you want to move from Spain to the United Kingdom? Is that what makes Spain? I remember Mr Trillo in Alicante throwing with one hand a euro to a journalist who was asking him about weapons of mass destruction in Iraq. What we didn't know then was that with the other hand I was charging 9,000 euros a month for the mere fact of being a Member; informed Member, yes, but be sure that no matter how well informed I was, Don Federico would never have been paid if I hadn't been a Member, a Member with the capacity to use his position of influence on something that company wanted. No one pays for anything anywhere. That was their courage, having more than good information and being a congressman. We already know that you believe that you are an NGO, but you know very well that when someone pays a commission, they don't exactly seek to do charity works. Faced with this, we tell you enough now, stop using the institutions to profit, put an end to this. We demand that Mr Trillo cease immediately as an ambassador to the United Kingdom, because thousands of children who have left their family in Spain and have gone to the United Kingdom to try to earn 9,000 euros a year by cleaning rooms or serving burgers cannot be represented by someone who charged 9,000 euros a month for the mere fact of being called Federico Trillo. The curriculum of an ambassador, in addition to being legal, must be ethical. This gentleman does not represent the majority of Spaniards and Spaniards, who are decent and hardworking people. This gentleman only represents the People's Party and its way of understanding politics: traffic in influences, commissionism, corruption and amicable capitalism. Put an end to the ambassador of shame. Stop Mr. Trillo today before the day is over. And you, Mr. Montoro, what a piece of paper you're doing! He's gone from being the smartest kid in the class to being the smartest kid in the class. He's gone from being Mr. Rat's wedding partner to leaking data. He has gone from being the Minister of Finance to being the promoter and protector of the greatest indecency, which is the fiscal amnesty. Do yourself a favor, do us all a favor, and return Montoro and Associates. Thank you very much. [[Several Members: Very well!-Applause]]
ParlaMint-ES_2015-04-29-CD150429.u71	Thank you, Mr. Congressman. Minister.
ParlaMint-ES_2015-04-29-CD150429.u72	Thank you, Mr. President. But how come I'm not going to get a deep irony if you guys don't give a shit! Why don't you ask me if the reduction in last year's public deficit has been important? It has been fundamental to Spain's economic recovery. [[Protests]] Why don't you ask me what the budgetary adjustment over the last three years has been? Because they don't care. They are not interested in what we are doing to recover Spain from the prostration in which you left it. That is socialist politics. Ethical menuda have! I am once again Minister of Finance of Spain and I meet with large companies that are taxing at zero cash rate. We had to change the tax rules to get them to tax again. That, what's capitalism about? Friends? Okay. I understand that you, Mr. Member, from your relative ignorance, make these statements, but be aware of the management of the socialist governments, of whom you paid taxes in Spain when you left the government and who are paying them today. [[Protests]] As you can see, tax laws apply to everyone regardless of who they have been or who they are now, regardless of who they were in terms of political or economic power or regardless of the political or economic power they have at the moment. This is what is happening in Spain in 2015 in terms of equity and in terms of the clean and complete functioning of the institutions, something that did not happen before. [[Applauds]]
