ParlaMint-NL_2019-10-02-tweedekamer-6.u1	We will continue with the debate on the General Financial Reviews.
ParlaMint-NL_2019-10-02-tweedekamer-6.u258	In my opinion, there has not been one negotiation in the entire history of humanity that has been successfully concluded after the negotiator has first publicly stated his maximum goals. That's impossible, it can't be. So I'm not gonna do that either. Then I wouldn't serve my constituents well. But we're doing our best, in front of the scenes and behind the scenes. We are open to discussions in all possible ways because we think that if the cabinet does not want to go with the left wing in every area, it might be able to do business with us.
ParlaMint-NL_2019-10-02-tweedekamer-6.u259	I understand that very well. I also understand very well that not everything can be made public. However, I am surprised that a party that wishes to mention democracy, called the Forum for Democracy, does not even want to question the substantive conditions and commitment or engage in a debate with us. Anyone in the population can look along like that...
ParlaMint-NL_2019-10-02-tweedekamer-6.u260	I think I made that very clear. We are opposed to the three major projects in which this cabinet has actually committed itself. That is the constant immigration. Suppose, for example, that we can force a commitment from the VVD to finally speed up the return of people who can return. Or think of organized crime. Last week, Theo Hiddema presented a very detailed proposal, which he called the 'rake and drag method'. Then you can really speed up tackling organised crime. When it comes to financial matters, you need to reduce that climate activist agenda a little bit to increase people's purchasing power. Those are a number of very concrete things.
ParlaMint-NL_2019-10-02-tweedekamer-6.u261	Those are clear points. We are discussing the Tax Plan today; that is one of the main elements.
ParlaMint-NL_2019-10-02-tweedekamer-6.u262	Sure.
ParlaMint-NL_2019-10-02-tweedekamer-6.u263	So I do not see that Forum can be pushed for the Tax Plan if not all of these sustainability measures go off the table, or at least to a large extent. That is what Mr Baudet says, isn't it? I'm just trying to understand what your party's commitment is because we live in a democracy.
ParlaMint-NL_2019-10-02-tweedekamer-6.u264	Well, I like that, because it gives me a chance to explain even more.
ParlaMint-NL_2019-10-02-tweedekamer-6.u265	Yes, please.
ParlaMint-NL_2019-10-02-tweedekamer-6.u266	There are other things, too. Whatever you might imagine is a firm commitment to a further up-and-down in the euro project. The Forum for Democracy was partly created by a movement which wanted a parliamentary inquiry into the origins of the introduction of the euro: did they know that this was about the biggest financial deception in Dutch history? The answer to that is probably yes. That's also something Rutte and others never wanted to admit. But the question is also: what can it cost us? Why don't we just put a rational amount of money on that? There are real possibilities there, too, I think. Then you're going to talk about, for example, whether we're willing to say: up to €100,000 or €150,000 savings, the government guarantees a positive interest rate. These are all examples we are talking about, which we expect to discuss in the near future, and which will enable us to serve the agenda of our constituents and our constituents.
ParlaMint-NL_2019-10-02-tweedekamer-6.u267	It hasn't gotten much brighter for me. Since we are talking about precise legislation in both parliaments, the cabinet does not have a majority in the First Chamber and Forum there is also a player with whom the cabinet could go into business, I am simply curious what it means for pensioners, elderly or tenants, for example. I wonder what your terms are and whether you think the proposals are right or not. I didn't actually hear anything about that in your speech. I have heard about immigration and the cost of euros, but that is so far away from the laws that lie ahead that it is simply difficult to judge them. And I think your constituents are entitled to that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u268	Thank you. Let me give you another example. If the government breaks the nitrogen bypass by not lowering the maximum speed throughout the Netherlands even further, but by directly aligning our measurement methods with those in Germany, then the 18,000 construction projects that are still standing still, which completely closes the housing market, can be resumed. Then farmers who cannot now send their cows into the pasture can do so again. Then they can expand their stables. These are all very direct, concrete benefits that many people in the Netherlands will reap directly from. That's what's going on here. These are all things that Forum voor Democratic Week in, week in favour of, in the Lower House, in the Upper Chamber, in the provinces and in the European Parliament. I really appreciate your interest. Perhaps you would like to ask one more question, so that I can express even more views.
ParlaMint-NL_2019-10-02-tweedekamer-6.u269	No! No, I'm not. That's it. That's it. Thank you, Mr. Baudet.
ParlaMint-NL_2019-10-02-tweedekamer-6.u270	Okay. You're welcome.
ParlaMint-NL_2019-10-02-tweedekamer-6.u271	This brings us to the end of the first term of office.
ParlaMint-NL_2019-10-02-tweedekamer-6.u272	Tomorrow, the Minister and the Secretary of State for Finance will have the opportunity to answer all your questions.
