ParlaMint-NL_2019-10-09-tweedekamer-8.u1	We continue with the discussion of the budget Agriculture, Nature and Food Quality (35300-XIV).
ParlaMint-NL_2019-10-09-tweedekamer-8.u249	That shit about it. Each time we discuss the climate, the environment, etc., we discuss alarmist stories, and there is a lot to be said about them. 97% of science says this and that, but none of that turns out to be true. Alarmist conclusions are all being drawn. There are all causalities that are very questionable. All vague diseases are added which cannot be identified in a one-on-one framework at all. I understand very well that in the big project, the big climate-religious project, it all comes in handy and that pointing to a peer review should close the discussion in the eyes of the advocates of all of this, but we simply do not agree with that. We continue to think critically ourselves. That has nothing to do with ignoring facts and turning in "unscientific" and "bul" and all that bullshit you come up with. It's just about looking critical: guys, what do we really know? On what basis are we now shutting down half the economy of the Netherlands? Or should we just be fooled by interests that very often also finance certain research, by magazines that have long ceased to be politically neutral? It is not only our right, but it is our duty to look critically at it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u250	Finally, Mr De Groot. Then I will go to Mr Geurts.
ParlaMint-NL_2019-10-09-tweedekamer-8.u251	One comment. It is our duty to ensure public health. One in five kids is a lot to me. Fifty asthma patients a day is a lot to me. Asthma is not a vague disease. You know, that could really be a real pain in the ass. Mr Baudet has a responsibility in this too.
ParlaMint-NL_2019-10-09-tweedekamer-8.u252	Perhaps Mr Baudet can help me. On page 9 of the letter sent by the cabinet last Friday, the German situation is discussed. There is a broader review framework. There are often large distances between the source and nature reserves. Then I will quote the following sentence: "These broader review frameworks have not been maintained in the Netherlands in the past. The 2008 ammonia review framework has proved legally unsustainable. This was the reason to develop the PAS." Could Mr Baudet help me get through this legally, or around it, if he likes to hear it?
ParlaMint-NL_2019-10-09-tweedekamer-8.u253	I didn't...
ParlaMint-NL_2019-10-09-tweedekamer-8.u254	Mind if I finish? Mr Baudet is proposing to go back to German standards. That sounds nice, but on the basis of this letter, it can't be done.
ParlaMint-NL_2019-10-09-tweedekamer-8.u255	What's that "not holding up" got to do with? You're quoting page 9. Is that gonna be explained?
ParlaMint-NL_2019-10-09-tweedekamer-8.u256	That is not explained here.
ParlaMint-NL_2019-10-09-tweedekamer-8.u257	Aha.
ParlaMint-NL_2019-10-09-tweedekamer-8.u258	If you had looked into it, you would know that the judge was in the Netherlands.
ParlaMint-NL_2019-10-09-tweedekamer-8.u259	No, wait a minute.
ParlaMint-NL_2019-10-09-tweedekamer-8.u260	As a result, the Programme Approach Nitrogen has been developed.
ParlaMint-NL_2019-10-09-tweedekamer-8.u261	We are not talking about the ruling of the Council of State of May six months ago, but about that, so we are talking about the higher standards for nitrogen. You're saying that didn't last. On what grounds? Do you know that?
ParlaMint-NL_2019-10-09-tweedekamer-8.u262	That's what the judge said.
ParlaMint-NL_2019-10-09-tweedekamer-8.u263	Yes, a judge indeed.
ParlaMint-NL_2019-10-09-tweedekamer-8.u264	In 2008 it was.
ParlaMint-NL_2019-10-09-tweedekamer-8.u265	A judge speaks right on the basis of things. On what grounds? Do you know that?
ParlaMint-NL_2019-10-09-tweedekamer-8.u266	Don't mix it up.
ParlaMint-NL_2019-10-09-tweedekamer-8.u267	Do you know that?
ParlaMint-NL_2019-10-09-tweedekamer-8.u268	Excuse me.
ParlaMint-NL_2019-10-09-tweedekamer-8.u269	But does he know that? He doesn't know. These have been our own standards. That's the one we want to adapt. You think you got me with some letter and a page and all, but it's just not at all the issue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u270	If you ask a question, it is also useful for Mr Geurts to have the opportunity to say something. If they talk through it, no one can follow. Mr. Geurts, would you like to say something?
ParlaMint-NL_2019-10-09-tweedekamer-8.u271	I think this problem is so serious that it is not my concern at all to catch Mr Baudet or anything.
ParlaMint-NL_2019-10-09-tweedekamer-8.u272	Yeah, but...
ParlaMint-NL_2019-10-09-tweedekamer-8.u273	If Mr Baudet can think with me how we can deal with this, I am glad to hear it. But the cabinet tells us that what Mr Baudet wants cannot be done, because it was already shot down in 2008. That is the fact, I say to Mr Baudet.
ParlaMint-NL_2019-10-09-tweedekamer-8.u274	No. What has been fired is the way in which we granted the nitrogen permits at the time, but you can still simply amend the Nature Protection Decision. You can just change the standards that are there. What we do in the Netherlands is apply very strict standards and then grant a lot of people exceptions. It is stipulated that this is not in line with the European model, but you can simply raise that standard as is happening in our neighbouring countries. There is no obstacle whatsoever to this from European law and not from Dutch law. The Minister can do that tomorrow.
ParlaMint-NL_2019-10-09-tweedekamer-8.u275	Finally, Mr Geurts.
ParlaMint-NL_2019-10-09-tweedekamer-8.u276	This is so simplistic. I am really looking for a solution to this situation with Mr Baudet. We are dealing with a ruling from the European Court of Justice. Are we just gonna ignore it?
ParlaMint-NL_2019-10-09-tweedekamer-8.u277	The ruling of the European Court of Justice is based on the methodology, not on the standard itself.
ParlaMint-NL_2019-10-09-tweedekamer-8.u278	Just a moment about RIVM, because Mr Baudet, like some others in this Chamber, said that he had doubts about the figures. At least that's how I understood him. At the same time he uses a graph in which he shows that the nitrogen depositions are going down, which I think is based on figures from the same RIVM. Are these figures or can't be trusted, is actually my question.
ParlaMint-NL_2019-10-09-tweedekamer-8.u279	You can't say that if one thing isn't right, everything isn't right. By the way, the source is PBL in this case. Nor can you say that, at the moment when they are using dubious measurement methods, all the data related to this situation are wrong.
ParlaMint-NL_2019-10-09-tweedekamer-8.u280	There is one measurement network in the Netherlands when it comes to nitrogen. This is performed by both Wageningen Research and RIVM. This produces the figures on nitrogen deposition in the Netherlands. It's been for years. You can insist that that's not right, but then it's not right. You can't say it's right when it suits me, but if it doesn't suit me, I don't trust the organization.
ParlaMint-NL_2019-10-09-tweedekamer-8.u281	We're seeing a trend that's dropping, I'd like to believe that. Only, what you cannot say is that the rather subtle change that is observed is statistically relevant enough to speak of a crisis immediately and to change the policy. Then you're gonna have to take the test.
ParlaMint-NL_2019-10-09-tweedekamer-8.u282	Finally, Mr Futselaar.
ParlaMint-NL_2019-10-09-tweedekamer-8.u283	In fact, Mr Baudet says: I believe the figures when they go down, which suits me, but I don't believe them anymore when they stay the same, because that doesn't suit me. I don't think that's a good way to look at numbers.
ParlaMint-NL_2019-10-09-tweedekamer-8.u284	I doubt the figures at a time when a slight change in them has a dramatic effect on policy. Then I say, guys, is this based on thorough investigation?
ParlaMint-NL_2019-10-09-tweedekamer-8.u285	Thank you, Mr. Baudet. You're done, aren't you?
ParlaMint-NL_2019-10-09-tweedekamer-8.u286	I want to say one last word.
ParlaMint-NL_2019-10-09-tweedekamer-8.u287	That's fine.
ParlaMint-NL_2019-10-09-tweedekamer-8.u288	We are living in an era in which the touch with the Earth is likely to be lost across the board. Modern man lives in an uprooted world on the umpteenth floor of characterless high-rise building. We get our plastic packed piece of filet from the shelves of the supermarket without recognizing the proudly cackling chicken. Without feeling with seasons pass us through the days from office buildings with windows that can't even open. The peasantry forms our connection to the earth, to the seasons and to the animals. The farmers provide the most beautiful interpretation of the landscape: animals in the meadow, crops that rise and bloom, bees and butterflies that cause cross-pollination. It is a landscape that we can already find in paintings by Frans Hals and Vincent van Gogh. It is the Netherlands that we know and associate with our youth and our history. We stand up for those farmers, for the animals, for the nature and the agricultural sector of our beautiful home.
ParlaMint-NL_2019-10-09-tweedekamer-8.u289	Then very briefly, Mrs Ouwehand.
ParlaMint-NL_2019-10-09-tweedekamer-8.u290	I was wondering if Mr Baudet would know how old that proudly cackling chicken was in the Dutch livestock sector.
ParlaMint-NL_2019-10-09-tweedekamer-8.u291	It depends a little bit. I went to visit a chicken farmer a while ago, and she let it get a little older. It changes a lot, it varies from a week or six to a month or three.
ParlaMint-NL_2019-10-09-tweedekamer-8.u292	Exactly. A six-week chicken is actually another chick. It would be nice if Mr Baudet were honest and transparent about that. When people buy chicken fillet, that nine out of ten times comes from a meat chick that's been bred to look like a obesity chicken within six weeks. I don't think you should throw people in the eye by talking about proudly cackling chickens, because the chickens in the Dutch poultry sector, the meat chick industry, are not proud of anything and are very heavy.
ParlaMint-NL_2019-10-09-tweedekamer-8.u293	There are excesses and there are situations in the bio-industry that we need to address. Animal welfare has to meet certain standards, but the situation of Dutch livestock has improved enormously lately and is among the best in the world. One of the things in which the Animal Party and the Democracy Forum stand side by side is to protect our market from products from, for example, Ukraine or later Mexico, which can enter our market through the controversial CETA Convention. The CDA is in favour of that. Now that's really bad. That's really dangerous. We can protect much better from our Dutch position, from the Dutch livestock, than now throw away the chicken with the bath water.
ParlaMint-NL_2019-10-09-tweedekamer-8.u294	Very briefly.
ParlaMint-NL_2019-10-09-tweedekamer-8.u295	Very briefly. We agree on the trade agreements, but if Mr Baudet claims here that it has become much better for the animals in the Dutch livestock sector, then I challenge him to come up with evidence next time.
ParlaMint-NL_2019-10-09-tweedekamer-8.u296	Or we could organize a work visit sometime, which I'd love to go with.
ParlaMint-NL_2019-10-09-tweedekamer-8.u297	Yes. I think you've agreed on a lot of work visits in this room. It's getting crowded.
ParlaMint-NL_2019-10-09-tweedekamer-8.u298	I think it is important to conduct politics outside Parliament...
ParlaMint-NL_2019-10-09-tweedekamer-8.u299	Very good.
ParlaMint-NL_2019-10-09-tweedekamer-8.u300	... and really look into society.
ParlaMint-NL_2019-10-09-tweedekamer-8.u301	It seems as if Mr Baudet is no longer in favour of trade agreements, but well, that aside, because that is not my question.
ParlaMint-NL_2019-10-09-tweedekamer-8.u302	No.
ParlaMint-NL_2019-10-09-tweedekamer-8.u303	My question is whether Mr Baudet will be present tomorrow afternoon or tomorrow evening and night at the debate, including the proposal made by Mr Baudet. Because I didn't hear a question from the minister. Perhaps Mr Baudet would like to put a question to the Minister about the German situation. We can do this tomorrow night and night, together with the Minister. For what is now lying is very thin, I say to Mr Baudet. So I'd like to have it deepened, see if it's a passable way to get out of the nitrogen debate.
ParlaMint-NL_2019-10-09-tweedekamer-8.u304	The answer to this question is in the affirmative.
ParlaMint-NL_2019-10-09-tweedekamer-8.u305	Okay, thank you.
ParlaMint-NL_2019-10-09-tweedekamer-8.u306	Mr President, I have not heard a question from Mr Baudet to the Minister. In his contribution, Mr Baudet did not ask the Minister about the German situation and whether it was applicable in the Netherlands.
ParlaMint-NL_2019-10-09-tweedekamer-8.u307	I've made an appeal to the Minister. She is quite free to interpret that call as a question.
ParlaMint-NL_2019-10-09-tweedekamer-8.u308	Thank you, Mr. Baudet. That also brings us to the end of the first term of office.
ParlaMint-NL_2019-10-09-tweedekamer-8.u309	I'll take a look at the schedule, although that's constantly changing, because we'll have a lot of VAOs tomorrow. But at least tomorrow afternoon we will continue to deal with the budget for Agriculture, Nature and Food Quality. I thank the Members of Parliament, thank the Minister and suspend the sitting until 7.30 p.m.
