ParlaMint-NL_2021-10-28-tweedekamer-10.u1	The next item is the follow-up to the budgetary treatment of Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u376	Then I get a little more excited, because then we can see where the money can come from, but then I'm stuck with the point I mentioned in the first term, which is that I'm a little grumpy that the Capacity Body gives a forecast and year by year the Chamber at the request of the participants of that same Capacity Body needs to adjust that forecast. I would really rather talk to the Capacity Body first and then see what else is needed. That's the order I prefer. In that light, I'd like to dissuade her. We saw what happened last year or two years ago with an amendment. That is not an invitation to the Chamber, by the way. The motion in part No. 64 by Mrs Van Esch is a speech-expression, so I don't have to find any of that. The motion in part No. 65 is about those candy and soda vending machines. I think it is a good item on the agenda for the next prevention agreement, but I would add that the homework is for the next cabinet. In that light, I advise against the motion. The same applies to the motion on item No. 66: dissuade. I would add that the food policy sec, which is referred to in the operative part, is really LNV. Also for the motion in part No. 68 says it's up to another cabinet. We are also assuming the wrong assumption that we can move towards a zero rate. That is not acceptable in Europe. Dissuade. The motion in part No. As far as I am concerned, 72 from Mrs Gündoğan is also a question for another cabinet. Dissuade, no matter how sympathetic the content is. The motion in part No. 73 is a speech-expression. I don't need to appreciate that. The motion in part No. 74 has a sympathetic content, but as far as I am concerned she is a request to another cabinet. Dissuade. The same applies to the motion in part No. 75, which is even more important to me in terms of content. Dissuade her because she's a request to a next cabinet. The motion in part No. 81 from Mr Kuzu says: Create a "One against loneliness" programme for young people. I said in my first term that one against loneliness, as it is now taking shape, involves young people. If Mr Kuzu thinks that this is not enough, I would ask him to ask another cabinet to put a programme on it, but not on this cabinet. In any case, I'm not suggesting the motion. Also the motion in part No. 82 is a question to another cabinet. It's a pretty far-reaching motion, about oral care. Dissuade. The motion in part No. 87 by Mrs Den Haan. I understand what she is asking for here, especially in the light of her input on the issue of young people. I would like to consider that, of course, we are working on the Youth Reform Agenda, including from the government, VWS, JenV, in which this type of question is widely on the agenda. As far as I'm concerned, this rides right through there, no matter how sympathetic. I would like to promise that I will include the notions in this discussion, but I would advise against the motion for a resolution. The same applies, with the same argument, to the motion in part No. 88, however sympathetic the content may be. By the way, I do not want to give the impression that we want to change age limits in legislation. That's not in the motion either. I want to promise that we will involve the issues in the discussions under the reform agenda, where we are sitting on the table. But I'd like to dissuade the motion sec. The Van der Plas/Van Haga motion in part No. 89: dissuade. That's a question for the next cabinet. For the motion in part No. 91 is the same, no matter how sympathetic the content may be. That is also a question for the next cabinet. The motion in part No. 93. On the contrary, we have not earmarked the resources we have agreed on with municipalities. So I have a huge problem with the municipalities when I give this motion judgment Chamber. I'm dissuading the motion. We are going to discuss the subject in the context of the reform agenda. The same applies to the motion in part No. 94. I would add as a substantive reason that we are not talking about collective agreements. Mr President, I think I have had the other motions. Perhaps I can count on about twenty minutes for the very big final agreement with the Minister, I would say thank you to the Chamber for the constructive debate. I myself am very pleased that prevention is so prominently on the agenda as well as a lot of other issues. Thank you, Mr President, for the pleasant leadership. I also want to give the people who work in care from this place a huge plume. That's a hugely important job for millions of Dutch people. Finally, I would like to thank the people at VWS who worked day and night to answer questions and the reactions to motions and amendments. A big compliment. So also on this route: thank you.
ParlaMint-NL_2021-10-28-tweedekamer-10.u377	But the Minister is not here, Mr. President.
ParlaMint-NL_2021-10-28-tweedekamer-10.u378	Thank you. I'm suspending for one moment, because we're waiting for the Minister. There are two motions that still need an appreciation and there is another final agreement.
ParlaMint-NL_2021-10-28-tweedekamer-10.u379	The Minister has the floor.
ParlaMint-NL_2021-10-28-tweedekamer-10.u380	Yes, Mr. Chairman. First of all, excuse me for having to do this, but thank you for being able to do it. The motion in part No. 55. I am going to ask Mrs Van den Berg to hold the motion. It could possibly be a useful idea, but there are a number of things going on. The first point is that we really need to discuss this with OCW. OCW should also look at this internationally. You're considering that, by the way. I would like to consult with OCW whether this is at all a movement that we could make again. We've gone from five to six. Could a move help you get back? Or does that, in turn, render the quality inadequate? I just don't know. I can't see that right now. So I'm happy to enter into consultations. I would ask Mrs van den Berg and Mrs Paulusma to hold the motion until then.
ParlaMint-NL_2021-10-28-tweedekamer-10.u381	I shall look at Mrs van den Berg to see if she is prepared to do so. That's the case.
ParlaMint-NL_2021-10-28-tweedekamer-10.u382	At the request of Mrs Van den Berg, I propose her motion (35925-XVI, No. 55). That is what is decided.
ParlaMint-NL_2021-10-28-tweedekamer-10.u383	Then the motion to part No. 92. I made the point that it is really about medical considerations. Mrs Simons then asked: where then and how then? This is particularly true of the one consideration that there is also a need to invest in peripheral hospitals, independent treatment centres, training funds and so on. For example, it also says "protocols for informed consent and triage." That's really up to the profession itself. That is one element of the motion that I am saying: ooh! Then the last element. This concerns involving the clients and the caregivers from gender care in the steering group. But the steering committee is really up to the clients. I do not know whether we should talk about it in the way of the quartermaster and sufficient perseverance. If I could make a suggestion to Mrs Simons, I would say: delete the recital which also concerns informed consent, with that long list of subjects which are, in part, really in the medical and professional domain. Finally, I would say that, of course, it makes sense to involve the clients and the caregivers. We do, just not in the steering committee, because that really is a steering group. If you would like to amend the motion in this way, I could even leave the judgment to the Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u384	I thank the Minister for his explanation and for considering how it could be done. I am going to think about this for a moment, because I am very pleased with the promise that the order will be extended to the quartermaster. I understand what's being said about the peripheral hospitals. But informed consent and triage are just that tricky point with which the questioners of this particular concern sit. But if I can start from the commitment with regard to the quartermaster, I am satisfied for now. I'm gonna think about whether or not to hold on.
ParlaMint-NL_2021-10-28-tweedekamer-10.u385	Fine. That is what I would like to leave aside the judgment "dissuade" for this wording, but with the commitment that goes with it. Mr. Chairman. Two more things at the end of a long day. First of all, thank you very much for the debate and very much also for the warm words for the people in the care. We often do that here and luckily, because they deserve it very much. We are doing that again today, and rightly so! Mrs Ellemeet has already done so, but I would also very much like to praise the people in the department, because their love for the bureaucratic craft, their love for care and their devotion and loyalty, every time, are invaluable. Without them, I really wouldn't be able to do anything. Without them, we wouldn't be anywhere. For that, therefore, a deep bow and my great thanks. That's for starters.
