ParlaMint-NL_2021-12-14-eerstekamer-8.u1	The next item is the continuation of the government's first-term response.
ParlaMint-NL_2021-12-14-eerstekamer-8.u251	So you're withdrawing your order proposal to vote on motion 35927, letter G, tonight? Furthermore, do you also wish to postpone the vote on this motion and not have it taken place next week?
ParlaMint-NL_2021-12-14-eerstekamer-8.u252	At least hold until further notice.
ParlaMint-NL_2021-12-14-eerstekamer-8.u253	Fine. It's been noted.
ParlaMint-NL_2021-12-14-eerstekamer-8.u254	I propose that we vote next week on the other motions tabled, but I would be happy to give Members the floor if they so wish. Mr Vendrik would like to take the floor.
ParlaMint-NL_2021-12-14-eerstekamer-8.u255	It is a fine proposal, with one amendment. I would ask you to vote today as soon as possible on my motion, 35927, letter H. The H of Hooray.
ParlaMint-NL_2021-12-14-eerstekamer-8.u256	Mr Vendrik put to the vote this evening on motion 35927, letter H. In any case, we shall first allow a suspension, so that you can consult with your group if you wish. Can the House accept Mr Vendrik's request?
ParlaMint-NL_2021-12-14-eerstekamer-8.u257	I see no need to make an exception for this motion, so I suggest that we just vote on it next week.
ParlaMint-NL_2021-12-14-eerstekamer-8.u258	Thank you, Mr. Van Strien. So you don't support the order proposal. I'm gonna ask the Griffin to go with me for a while. Then I ask the other spokesmen to let me know what their group thinks about this. So we already know about the SP and the PVV. Then I give the floor to D66.
ParlaMint-NL_2021-12-14-eerstekamer-8.u259	D66 would like to vote on this motion next week.
ParlaMint-NL_2021-12-14-eerstekamer-8.u260	So you don't support the order proposal. Then the Labour Party.
ParlaMint-NL_2021-12-14-eerstekamer-8.u261	We would like to vote today, because if it happens next week, there will be no repairs, either left or right. So it seems to me the right of the Chamber to... I appeal to all colleagues, including where appropriate. There's an urgency going on here. That urgency is decisive, regardless of the content.
ParlaMint-NL_2021-12-14-eerstekamer-8.u262	Thank you. You support GroenLinks' proposal of order. Then the SP.
ParlaMint-NL_2021-12-14-eerstekamer-8.u263	You just said we already know about the SP. I had not yet said anything, but I agree with what Mr Crone said, including the reasons for the content. So we support the order proposal.
ParlaMint-NL_2021-12-14-eerstekamer-8.u264	Excuse me, I was wrong earlier. You support the order proposal. Then I see Mr Ester standing on behalf of the Christian Union.
ParlaMint-NL_2021-12-14-eerstekamer-8.u265	We do not support the proposal. We would like to vote on it next week.
ParlaMint-NL_2021-12-14-eerstekamer-8.u266	Thank you. Then Mrs Prast on behalf of the Animal Party.
ParlaMint-NL_2021-12-14-eerstekamer-8.u267	We do not support the proposal either. We would like to vote next week.
ParlaMint-NL_2021-12-14-eerstekamer-8.u268	Thank you. Then Mrs. Geerdink of the VVD.
ParlaMint-NL_2021-12-14-eerstekamer-8.u269	We do not support the proposal either, and we would like to vote next week.
ParlaMint-NL_2021-12-14-eerstekamer-8.u270	Thank you. Mr Otten on behalf of the Otten Group.
ParlaMint-NL_2021-12-14-eerstekamer-8.u271	We don't care much. We will be voting against today or next week anyway. So we don't care.
