ParlaMint-FR_2017-12-12-O1094.u1	Mrs Laurence Dumont has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u112	[[Protests on a few benches of the REM group]] It's a historical reality!
ParlaMint-FR_2017-12-12-O1094.u113	Through this unilateral decision, which opposes the UN's international resolutions, Donald Trump exacerbates the difficulties in this region and triggers anger and violence. Since Thursday, four Palestinians have lost their lives and more than 1500 have been injured in clashes with Israeli security forces. Rockets were also fired from Gaza into Israeli territory. Call for calm and condemnation of all acts of violence will not be enough to resolve a situation that has been bogged down for decades and to revive a peace process in a state of brain death. [[Applause on several benches in the REM group]] President Macron and the High Representative of the Union were right in calling the US President's decision "unfortunate". I know that on the majority of the benches of this House, we are committed to a two-State solution, living in peace and security, with internationally recognized borders. The European Foreign Ministers addressed this issue yesterday. The Union must be able to make a concrete and measured proposal. Although Hungary is blocking a joint declaration, it is necessary that we can play a central role in bringing the parties back to the negotiating table.
ParlaMint-FR_2017-12-12-O1094.u114	It's a scandal!
ParlaMint-FR_2017-12-12-O1094.u115	When some decide to play the confrontation, the European Union and its members can work to put an end to a conflict that has lasted too long.
ParlaMint-FR_2017-12-12-O1094.u116	The Secretary of State responsible for relations with Parliament has the floor.
ParlaMint-FR_2017-12-12-O1094.u117	Relationships with the majority, more like that!
ParlaMint-FR_2017-12-12-O1094.u118	Mr President, Donald Trump's decision to recognize Jerusalem as the capital of Israel and to transfer the Embassy of the United States to it is causing trouble in the international community. In his reply to Hugues Renson, the Prime Minister recalled the position of France, which, you may have noted, brings together beyond the majority. The troubled situation in the Middle East reveals a need for Europe. Member States should speak with one voice. As early as Monday, the Foreign Ministers meeting in Council addressed the matter – it was necessary – and met with the Israeli Prime Minister. This will be discussed again at the European Council on 14 and 15 December. You were able to hear the President of the Republic, after his meeting with the Israeli Prime Minister on Sunday, reaffirm France's position: one can be very attentive to the legitimate security of Israel and at the same time lay the principle of two states living side by side, with a common capital, Jerusalem...
ParlaMint-FR_2017-12-12-O1094.u119	[[Long protests on several benches]] Never!
ParlaMint-FR_2017-12-12-O1094.u120	...of which I recall that this is the third holy place of Islam.
ParlaMint-FR_2017-12-12-O1094.u121	[[Same movements]] Never, you hear!
ParlaMint-FR_2017-12-12-O1094.u122	[[Applause on the benches of the REM, MODEM and FI groups]] Islam also needs this respect. [[Applause on the benches of the REM and MODEM groups]] Rather than shouting, screaming, denouncing, it is essential that we be gathered together to protect Israel and to guarantee it the best security conditions, by living two States side by side.
ParlaMint-FR_2017-12-12-O1094.u123	Mrs Emilie Cariou, on behalf of the Group of the European People's Party, is speaking.
ParlaMint-FR_2017-12-12-O1094.u124	My question will complement that put by Mr Chassaigne. Prime Minister, on 5 December last, the twenty-eight Member States of the European Union released their conclusions on tax havens, after several months of working together with the European Commission. A blacklist of 17 States outside the European Union was published, while 47 States and territories were placed on a second list, known as grey, provided that certain commitments were met. Eight Caribbean States, affected by recent weather crises, have been placed separately for this year 2018, with their cases still waiting for positions to be taken. Mr Prime Minister, we welcome this first substantive work, carried out for several years, although this list seems too modest not only in view of the practices observed in the field of tax optimisation, but also in view of the role played by some European states in the optimization schemes implemented. We hope that this awareness of the phenomenon of offshore tax optimisation will lead to concrete actions to safeguard our fiscal resources and, consequently, our solidarity, in all the territories of the Republic, in the face of the dumping caused by tax havens and the companies that use them. Prime Minister, you have just announced a plan to combat tax fraud. How soon will our national decree establishing the national list of tax havens, which now has only seven, respond to this European development? This list is an essential building block for the implementation of our legal arsenal of capital taxation and the results that flee to these tax havens. [[Applause on several benches in the REM group and on a few benches in the NG, FI and GDR groups]] As part of this update, will Parliament and its finance committees finally be able to participate every year, as provided for in the law, in the revision of the French list of tax havens, last updated in 2016, and to organise the follow-up of the work, in particular the fulfilment of the commitments of the countries of the grey list?
