ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u74	The draft law on the financing of social security imposes a new bleed of several billion euros in the public hospital, yet faced with increasing difficulties in carrying out its health tasks throughout the country. Yes, this amending finance bill and the €10 billion to be repaid, including interest, come just after this unprecedented series of measures in favour of the most wealthy in France and after the recent revelations of Paradise papers. The introduction of a surcharge on the profits of the 320 largest companies is a good decision. It also shows, contrary to what you have said for weeks, that such a levy is possible, and that it will not ruin anyone. But, because of course there is one "but", you have made the decision to recover only half of the cheque you are about to sign, that is 5 billion out of the 10. You have rejected all the proposals we have put forward. Why limit this surtax to one year? It was sufficient at least to introduce it for two years in order to recover all the 10 billion that the State must repay. It would also have been possible to maintain this tax, if only to recover the equivalent of the revenue generated by the 3% tax on dividends. You have so reproached the previous government for its lack of vision in the introduction of this last mechanism that it can be thought that your proposal is bordered. If that is the case, then, Secretary of State, agree to rework it to sustain this tax, which would be a meagre counterpart to the more unjust set of measures that you have put in place under the finance bill. You also have the possibility of introducing a one-year moratorium on the abolition of the ISF, rather than putting up with the public deficit, that is to say to all the French, the burden of those EUR 5 billion that you are sliding into already well-filled pockets. To conclude and highlight the tremendous contrast of your political decisions always oriented in the same direction with the reality experienced by our fellow citizens, I will say that 1 billion euros represent 110,000 contracts assisted at 9000 euros on average per contract. There are French people who weigh more than others in your political decisions. [[Applause on the benches of the GDR group]] You will understand this: given your stubbornness in persisting in your unjust proposals, we will pass this amending finance bill.
ParlaMint-FR_2017-11-14-O1054.u75	All right!
ParlaMint-FR_2017-11-14-O1054.u76	Mr Laurent Saint-Martin has the floor.
ParlaMint-FR_2017-11-14-O1054.u77	Mr President, Mr Secretary of State, Mr President of the Committee on Finance, Mr rapporteur-general, ladies and gentlemen, you are now familiar with the context of the draft amending finance law on which we have to vote; So I won't call him back. The solution before you is courageous, because it is the worst solution in the worst of situations: that of total and retroactive censorship of a tax by the Constitutional Council. She is also brave because she assumes to create winners and losers. It is the price of legal solidity, which is our main concern.
ParlaMint-FR_2017-11-14-O1054.u78	It's the price of injustice!
ParlaMint-FR_2017-11-14-O1054.u79	Finally, it is courageous because, contrary to the use of bonds that would increase debt, it allows us to meet our European deficit reduction commitments. A civic effort is required from 320 companies with turnover in excess of EUR 1 billion. This is a fair and equitable solution. This solution is just because it consists solely of an increase in corporate tax, and therefore will not penalise large companies in difficulty that have a turnover of more than EUR 1 billion but do not make a profit. It is fair because of the fact that, among the companies involved, two tranches are set up, which makes this contribution progressive. I am pleased to acknowledge that the discussion of this text is swift, because the case needs to be dealt with as quickly as possible. I would stress, however, that we have taken the time to refine this mechanism in committee and in this House. I am against the amendments adopted on this text, such as that of Mr Gilles Carrez and his colleagues in the Group of the European People's Party, which provides for the submission of a report on the results of the winning and losing companies,...
ParlaMint-FR_2017-11-14-O1054.u80	He's been emptied of his substance!
ParlaMint-FR_2017-11-14-O1054.u81	... that of our rapporteur-general, who is smoothing the threshold effects, or that of the committee, who is delaying the payment deadline to harmonise it. This shows that, even under extreme conditions, Parliament is able to carry out its monitoring and amendment work. If such a procedure is justifiable for some exceptional cases of a particular emergency, it cannot be the norm. However, until now, in tax matters, the time for reflection has not always been left to all actors, as evidenced by the delay of less than twenty days that separated in 2012 the decision to create a dividend tax from the tabling of the bill on the office of our assembly. Twenty days! That's not enough; It's not satisfactory. In tax matters, and a fortiori when it comes to creating a new tax, the greatest caution must be the rule.
ParlaMint-FR_2017-11-14-O1054.u82	That's right!
ParlaMint-FR_2017-11-14-O1054.u83	That is why we must carefully consider the proposals of the General Inspectorate of Finance, whose report was communicated to us yesterday, and whose effectiveness I welcome in conducting its investigation. I would also like to point out to Messrs. of Courson and Vigier that I too have read this document.
