ParlaMint-BG_2022-02-02.u1	For registration colleagues online: Desislava Taneva?
ParlaMint-BG_2022-02-02.u181	Thank you, Mr. Karimansky. I'm opening the discussion under Paragraph 37 of the Bill. Anyone who wants to make a statement? I won't. I'm calling off the discussion. We are going to vote on § 37, as it was read. Please, voting mode. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u182	Yeah.
ParlaMint-BG_2022-02-02.u183	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u184	Yeah.
ParlaMint-BG_2022-02-02.u185	Peter Chobanov?
ParlaMint-BG_2022-02-02.u186	Abstention.
ParlaMint-BG_2022-02-02.u187	They voted in Hall 121 MPs and 3 online.. 124 total. The votes for are 117 in the hall and 2 online The motion is accepted. It's a re-vote. Colleagues, take your seats. You'll be more comfortable voting. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u188	Yeah.
ParlaMint-BG_2022-02-02.u189	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u190	Yeah.
ParlaMint-BG_2022-02-02.u191	And Peter Chobanov? They voted in Hall 124 MPs and 2 online " 126" total. The votes are 123 in the hall and 2 online.. total 125, not against, abstention 1. The motion is accepted.
