ParlaMint-BG_2022-02-17.u1	Honourable Members of the National Assembly, please register. Colleagues online:
ParlaMint-BG_2022-02-17.u200	Sorry, you're right. Let's get to the point. It may be nice for you, too, as President of the National Assembly, to make clear what we are talking about, what texts we are discussing. I draw from the lines made, statements made by some of the negotiating colleagues. As two main proposals were contained in the proposed WID of the Water Act in its main part, they are for the extension of the current strategic documents in the field of water, namely the RMPs and RMPs, the River Basin Management Plan and the Flood Risk Management Plan, the extension of the period until the adoption of new ones. Those adopted during the second government of Prime Minister Borisov, we extend their action because of almost a year nothing done by two offices. Subsequently, between first and second readings came into the Commission, he and the President of the Commission mentioned two proposals on the substance, such as our personal opinion of colleagues from GERB, is that they deviate from the main subject and from the nature of the bill voted at first reading. Here, Mr. President, I do not intend to make a statement on the title of the Bill and on the rejected, unmissed rather to the Commission, a proposal from my colleagues from the AGE, but Commission President Manol Genov pulled me for the language by saying to read the Rules. Well, he either reads the rules like the devil's gospel, or interprets it in a very preventative way. Here, please, let's take a look at art. 79 which regulates the rights of Members of the National Assembly as to how they make their proposals between first and second votes, how they are formed in a report and so on. Colleagues of ARGUING shall be invited to submit the proposal in accordance with art. 79, para. 1 of the Rules of Procedure of the National Assembly in accordance with it and within the statutory period. It was rejected on the basis of a text of the Rules of Procedure that the proposal proposed by my fellow Members goes beyond the scope of the bill adopted at the first vote. I will come to § 2, in which we will see that fellow Members of the National Assembly outside the procedures described in art. 79 of the Rules of Procedure, at the Commission meeting yesterday, that a procedural vacuum was made three times, calling for an extraordinary meeting of the Committee on Environment and Water to enter this proposal. The National Institute of Meteorology and Hydrology to switch from the structures of the Ministry of Education and Science to those of the Ministry of Education and Science. Here, the President of the Commission and the fellow Members who supported this proposal rejected the first of their colleagues from AGE and evidently showed a real double archin in their actions. Because their proposal was justified by my colleague Drenchev, which concerns essentially water-related topics, related to management of underground water sources. The texts that exist in the plans, the so-called pools. There, Mr. President of the Commission, Mr. President of the National Assembly, is given the essence of the country's water resources management not only to the surface ones, but those related to the water horizons of the first flood, and the second terrace of the river basins. The first, second, third import horizons, the topics we discussed and which colleagues want to discuss in substance were rejected as non-compliant with the subject matter and scope of the bill adopted at the first vote. You see, in a few minutes, soon enough, beyond the rules of art. No reference to para 79. 6, p. 2 from the President, which concerns quite other assumptions.. how they form the Report and present it to the Members of the National Assembly, passed the change, which they believe was essentially and responding to the nature of the basic bill relating to the transfer of NIMH from the Ministry of Education to the Ministry of Environment and Water. Excuse me, Mr. Chairman, here's the double archin, to put it mildly, as a definition again dwindling, treading down the rules and procedures that you have adopted, which are written in it. I will make my statements on the substance and, where appropriate, this proposal for NIMH from the Ministry of Education and Science to the other office, to the Ministry of Education and Science. In § 2, as voted and proposed on the Commission report, I just wanted to pay attention to you, because you yesterday following the speech of colleague Mladen Shishkov in a procedure made a commitment to check what was happening with the meeting of the Committee on Environment and Water. I hope you checked, because what happened yesterday at these three emergency meetings was, to say the least, not serious. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-17.u201	Thank you, Mr. Nankov. Are there any lines to Nikolai Nankov? I won't. Any other comments on the title on the two proposals of Nikolai Drenchev and Petar Petrov? I won't. I'm calling off the discussion. We vote on the name of the Bill. Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u202	Yeah.
ParlaMint-BG_2022-02-17.u203	Rosen Turtle?
ParlaMint-BG_2022-02-17.u204	Yeah.
ParlaMint-BG_2022-02-17.u205	Stefan Shilev?
ParlaMint-BG_2022-02-17.u206	That's against it.
ParlaMint-BG_2022-02-17.u207	Vote in this House 139 MPs and online 3 "total 142": for 139 and 2 online " 141" total, against 1 online, no abstentions. The motion is accepted. We are going to vote on the proposal of the MPs Nikolay Drenchev and Petar Petrov for amendment in art. 43, para. 2, namely, the words "in the boundaries of settlements and settlements' to be deleted. The proposal is unexamined by the Committee on Environment and Water. Alexandra Milcheva?
ParlaMint-BG_2022-02-17.u208	That's against it.
ParlaMint-BG_2022-02-17.u209	Rosen Turtle?
ParlaMint-BG_2022-02-17.u210	That's against it.
ParlaMint-BG_2022-02-17.u211	Stefan Shilev?
ParlaMint-BG_2022-02-17.u212	Yeah.
ParlaMint-BG_2022-02-17.u213	Vote in this House 159 MPs and online 3 The proposal of Nikolai Drenchev and Petar Petrov is not accepted. We are going to vote again on the proposal of the MPs Nikolay Drenchev and Petar Petrov in addition to art. 118d, para. 3, p. 5 of the Water Act, that is, after the words "to satisfy the citizens' own needs" to be added the words "outside the cases under art. 42, para. The following information is available in the Official Journal of the European Union (hereinafter referred to as "the Authority') and in the Official Journal of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') published in the Official Journal of the European Union (hereinafter "the Authority') and in the Official Journal of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') published in Alexandra Milcheva?
