ParlaMint-NL_2017-11-09-tweedekamer-16.u1	I give the floor to the Minister to first inform the Chamber of the letter requested this morning.
ParlaMint-NL_2017-11-09-tweedekamer-16.u121	Well, let's get this straight again for precision. Those numbers are from the Planning Bureau. The Cabinet embraces them, too. In these numbers an estimate is made of what the development of incomes will be. We can now anticipate and consider whether this is being achieved, whether it is being done or whether more is being done. What Mr Nijboer is actually saying is: if it is not so good and if it is less so, then it is true that incomes are not as good as they are. Yes, of course that's true. If the economy grows harder or if the negotiations at the social partners' table are different, it can also become more.
ParlaMint-NL_2017-11-09-tweedekamer-16.u122	What we are also trying to do in the debate is to find out what political choices the cabinet is making, what the estimates are. There are high wage estimates, and I also hope that they will be true. I support Mr Van Weyenberg on that point. For years, I have made a plea for higher wages in the financial considerations. That's very good, and we should want it. But the choices made by the government regarding the distribution of income simply result in workers, and especially those with the highest income, who benefit most from the WNT in government or the highest income in business and who are barely or not looked at at benefit recipients, elderly and tenants.
ParlaMint-NL_2017-11-09-tweedekamer-16.u123	I do not think that this does justice to reality. It does not do justice to reality here to pretend that the cabinet is actually there for a very specific group and not for the rest. That's just not true.
ParlaMint-NL_2017-11-09-tweedekamer-16.u124	I have a very short question. The Minister says that wage increases will be uncertain. I would like to point out to the Minister that one thing is certain, and that is that the Financial Review Framework, which we were very much opposed to in the First Chamber at the time, is that, like the CDA, at least it is certain that there will be no indexation of pensions over the next four years and that pensions will even be reduced. An initiative proposal will be discussed shortly to put an end to this. Wages can go up, pensions can stay at most the same, but they can even fall.
ParlaMint-NL_2017-11-09-tweedekamer-16.u125	Mr Van Rooijen and I have several common hobbies. Pensions are one of them. I would like to discuss this with him, as well as the desirability and feasibility of his new legislative proposal, which is still before us. Maybe we should just leave it at that for now.
ParlaMint-NL_2017-11-09-tweedekamer-16.u126	I suggest you move on. In the meantime, there will be a new chairman, who will replace me.
ParlaMint-NL_2017-11-09-tweedekamer-16.u127	So I have to do it without your support from now on.
ParlaMint-NL_2017-11-09-tweedekamer-16.u128	You do have to do it without me.
ParlaMint-NL_2017-11-09-tweedekamer-16.u129	Mr. Chairman. I was in a letter on the attachment-free foot, a question from Mr Omtzigt. I understand him in such a way that he says that many people under the level of assistance are seized on income and that he asks if the government can send a letter for the budgetary treatment of SZW stating that the attachment-free foot is respected and that crooked collection agencies are being dealt with. The cabinet is firmly committed to reducing the number of people with problematic debts and to providing more effective assistance to debtors. I believe that this is not primarily a matter for the cabinet, but also for municipalities, other public authorities and private parties. As far as we are concerned, the elaboration of existing and new plans also falls into a broad debt approach involving several departments. In the direction of Mr Omtzigt, I would therefore like to say that I expect my colleague from Social Affairs and Employment, together with the other members of the government concerned, to come forward with a detailed initial debt policy as soon as possible. I expect he will be able to send it to the Chamber in the near future. I will pass on Mr Omtzig's request and the request from the Chamber and say that we would like that initial note for the budgetary treatment of Social Affairs and Employment to land here. I can promise that I will bring it to his attention, and I suspect that it will succeed, but keep it to my advantage. Then I'm in the fifth part: the Netherlands in the world. I was distracted for a moment, but that has to do with the change of Presidents.
ParlaMint-NL_2017-11-09-tweedekamer-16.u130	Minister, that immediately leads to an interruption with Mr Van Dijck, whom I would like to give the opportunity to do so.
ParlaMint-NL_2017-11-09-tweedekamer-16.u131	Let's talk about the start note. I do not know if the Minister has seen Table 6, but it clearly increases the burden of 3.4 billion because, as I have just said, of the measures taken in previous Cabinets and the increase in healthcare contributions. So, on balance, during this cabinet period, the people will receive a burden increase of 3.4 billion for the choice. What strikes me further is a reduction in the burden on business of 2.2 billion minus 1.8 billion. So, in fact, families are declining by 5 billion during this cabinet period. Is that right?
ParlaMint-NL_2017-11-09-tweedekamer-16.u132	No, it's really different. Let me say one thing about the substance and propose, as long as that information has not already reached Mr Van Dijck, that it will be forthcoming. I believe that information has been provided that includes those amounts and shows what this sum is like, and if it is right, what is the connection between the figures of the Treasury and the figures of the Planning Bureau. It may be good to stress once again: we are always talking about development in relation to the basic path. I will tell Mr Van Dijck, who has been well introduced into this matter, nothing new. So we are talking about a reduction in the burden compared to the basic path. That's one. Secondly, I would like to quote the Planning Bureau for this. If you add up everything, the business community is going a little backwards. If you make the total sum of the load relief and the load increase, where there is also a piece of greening, then a very small minus comes out. By the way, they're practically even. Mr. Chairman. Maybe we should talk about the process: let me double check whether this information has also been sent to Mr Van Dijck. I suspect so, and I think that the link between the figures from the Treasury and the Planning Bureau is also useful. At least I'll make sure of that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u133	Basic path or not, the people at home only look at: what do I have at the end of the month? Whether it's in the base path or not, I don't care. The point is that in this cabinet period the cabinet is selling a tax relief of 5 billion, and in the start-up note, the basic path results in a burden increase of 5 billion for the citizens. The citizens have no message on a basic path. The citizens think: do I get 5 billion relief or do I now get 5 billion burden reduction according to Dijck? In your table, and it doesn't lie, there's 5 billion more burdens.
