ParlaMint-NL_2017-11-01-tweedekamer-3.u1	The Chamber is now speaking, starting with Mr Wilders on behalf of the PVV.
ParlaMint-NL_2017-11-01-tweedekamer-3.u299	However, I object to this reasoning. Fortunately, Mr Asscher says at some point: less more. There's still more money going to the neighborhood nursing. This will also be called for more. In the previous cabinet, too, we gave the Minister the opportunity to conclude a broad agreement. The CPB can already rely on that, but from such an agreement it came to the extent to which it managed to dampen cost growth, through innovation, to ensure that it does not remain with the provider, but really reaches the quality of care. On parts there was sometimes more money going there, like with the general practitioners. Then the agreement was that we were going to save, but there should be some more money. I'm not ruling out any of that out. I am not going to say in advance that a minister is given the task of getting a cut or, indeed, I have to say it correctly myself, to slow down growth, but to do nothing on a certain part. If it is possible in a way that is responsible, which maintains quality and also helps affordability for future generations, I do not want to cut him off in advance.
ParlaMint-NL_2017-11-01-tweedekamer-3.u300	However, that is what we need to do, given the unrest that exists among neighbourhood nurses. And the following in terms of less more. How many more ministers are there now? I'd say three or four. If we were to take away Mr De Jonge's salary and say, 'Happy game, go to work', he would see it as a cut-off, but more money has been spent on ministers. In other words, these neighborhood nurses have more and more patients to take care of. That's gonna cost more money. This 100 million discount means that they have less time per patient and can offer less care per patient. Tens of thousands of signatures have already been issued because of this passage. What we do need to do today is to give the Minister that, with all the space he has to make agreements and the like, he should exempt the district nurses. That is a matter of decency towards those district nurses, but also towards our elderly.
ParlaMint-NL_2017-11-01-tweedekamer-3.u301	It is also a matter of decency to stick to the facts for a while and not to say by yourself, moving on to a doomsday scenario, that this should be it. The CPB has made a calculation. It does not say in the coalition agreement that there should be 100 million of growth; that there should therefore be hundreds of millions more, but only the last 100 million. It just doesn't say that. I would like to give the Minister the opportunity to conclude those agreements, and in a responsible manner. In the past it has also been possible to spend less money on something, by scaling up measures, by introducing efficiency, by introducing new means or ways of working, which did not lead to a deterioration of care. It's not a closed system here; people are listening now. If I told you in advance not to take a dime off it, I'd know that an attempt like that wouldn't work. That would be a shame to me, because as a society we would pay too much. I'm not looking to squeeze off neighborhood nurses, so that's not the point. I want to keep the quality as much as possible, but I would like to give the Minister the opportunity to start the discussion and get the best possible deal for the whole of the Netherlands.
ParlaMint-NL_2017-11-01-tweedekamer-3.u302	Your last comment, please.
ParlaMint-NL_2017-11-01-tweedekamer-3.u303	The task that Mr Dijkhoff and I now have is to give this direction to the cabinet. That direction should be: no cuts on district nurses. Mr Dijkhoff is pretending that money is being wasted there. That's where they work very hard, and he knows it. So you have to give direction. So: make chords, do your best, but not at the expense of these people.
ParlaMint-NL_2017-11-01-tweedekamer-3.u304	Mr. Chairman. I would also like to go back to the issue of confidence in politics. If during the election campaign you indicate that you are going to cut 4 billion in public spending and then, after forming the government, spend 8 billion more, that does not create confidence in politics. That's also about trust in politics. Now the dividend tax, that gift of 1.4 billion euros to large companies. The CPB indicates: no economic growth, no jobs, no evidence of growth. Mr Dijkhoff pointed out that this was not in the CPB models. My question to the VVD is then: what does the VVD expect from abolishing the dividend tax for large companies and foreign shareholders?
ParlaMint-NL_2017-11-01-tweedekamer-3.u305	I expect it to improve our locational climate. It will have a positive impact on the choices that companies make: are we staying in the Netherlands or are we leaving; are we staying outside the Netherlands or are we going to the Netherlands? It is more likely that companies will stay and/or come, allowing the Dutch who work there to keep their jobs. That's my expectation.
ParlaMint-NL_2017-11-01-tweedekamer-3.u306	In the past, we have often had debates here where different political parties really had to fight very hard for a tonne extra for a particular policy subject. We are talking about EUR 1.4 billion at the moment. Let me repeat this: EUR 1.4 billion! That's a hell of a lot of money. The argument that we are hearing now is that it can have a certain effect. Doesn't Mr Dijkhoff think that's a little skinny?
ParlaMint-NL_2017-11-01-tweedekamer-3.u307	No, what I think is skinny is not doing this and hoping it's gonna work out, and then having bad luck and seeing companies leave. Then there are no dividends tax revenues, because if those companies are not there, they do not pay them either. Then you have to explain to people that you had the chance to make an effort to prevent that, but they've lost their jobs. I'd say that's skinny.
ParlaMint-NL_2017-11-01-tweedekamer-3.u308	I think that's too big a risk. EUR 1.4 billion: we would never sign up for that. I would like to ask one last specific question. What can we charge this government with regard to the VVD when it comes to the locational climate? I understand that you cannot say that one-two-three here, but I would ask you, with us or with other political parties who are in the opposition and have made this a major point, to give a concrete result as a mission to this government.
ParlaMint-NL_2017-11-01-tweedekamer-3.u309	I do not know very well from Mr Kuzu's question. I can't quite place the answer he wants to hear.
ParlaMint-NL_2017-11-01-tweedekamer-3.u310	Mr Kuzu, you may explain.
ParlaMint-NL_2017-11-01-tweedekamer-3.u311	It's a yes or no. Is the VVD prepared to provide the cabinet or the new government with a checkable result in relation to the choice made to abolish the dividend tax?
ParlaMint-NL_2017-11-01-tweedekamer-3.u312	If Mr Kuzu with a proposal... I simply cannot imagine a checkable result of the effects of the dividend tax. If companies that pay them and those foreign investors that benefit from them all stay, I'm sure someone will say that they would have. I can't guarantee they'll stay now. It is not that it is in a model, that so many tax companies stay or do not. People make those choices.
ParlaMint-NL_2017-11-01-tweedekamer-3.u313	In conclusion, Mr Kuzu.
ParlaMint-NL_2017-11-01-tweedekamer-3.u314	Unfortunately, I can only conclude that this is a waste of money, which is paid by tax-paying Dutch people. I thought this was also a group that the VVD stood up for.
ParlaMint-NL_2017-11-01-tweedekamer-3.u315	The risk with that dividend tax is much greater. Mr Dijkhoff says that they want to prevent companies from leaving. Where would they go? The countries around us all have dividend taxes, even higher than in the Netherlands. The countries around us have a higher tax on profits for large companies than the Netherlands has. With this proposal, you're trying to get English companies this way, in a war on the lowest taxes. It's a race to the bottom. You're trying to create a tax war to bring companies to the Netherlands. That's what the Cabinet's gonna do. The effect is that the countries around us that see this happening might do the same. Already we see that only 7% of our tax revenues come from companies. It was much more in the past. With your measures, it's gonna be even less. Such a tax war will contribute even less to the quality of society. Does Mr Dijkhoff see that risk?
ParlaMint-NL_2017-11-01-tweedekamer-3.u316	Of course I see that phenomenon. That is the reason for supporting this. In the supermarket war there will also be an entrepreneur who says: I wish there wasn't, then I could keep doing it the way I did it. But yes, if they do start it around you, you can basically say that you think it's wrong and that you don't participate in it, but you'll end up with the shortest. I don't like it either. I'm not in principle in favour of a race to the bottom on taxes. I can only see the mobility of people, companies and capital flows. I think it is our responsibility, even if you don't always like it or honestly, to ensure that the Netherlands comes out as well as possible and that as many Dutch people as possible have a job. That's what I'm doing, not because I like that this is happening.
ParlaMint-NL_2017-11-01-tweedekamer-3.u317	The cabinet is starting a tax war in Europe. It starts first with abolishing the dividend tax. Maybe that's what's gonna make others follow. We lack 1.4 billion tax revenues from foreign investors. With that income, we keep our society in order. That account is placed one-on-one with the care, the police officers, the elderly and the Wajangers. That's what we were all talking about. They're gonna pay that bill. It now starts with 1.4 billion in dividend tax that is going to be abolished. It starts with a substantial reduction in the tax on profits for large companies. People are gonna pay that bill. The follow-up will be that other countries think they should participate. The Netherlands is starting a tax war, a race to the bottom. We shouldn't do that. Knock it off.
ParlaMint-NL_2017-11-01-tweedekamer-3.u318	I've been hearing the SP talk about this phenomenon going on for years. So I don't think we're starting that now. We are also doing the things that are good for employment and jobs in the Netherlands. I'd like to hold on to that. I wouldn't want to save principles, sacrifice jobs.
ParlaMint-NL_2017-11-01-tweedekamer-3.u319	That's bullshit. Jobs are created in healthcare. After 77,000 people have lost their jobs, we are now begging for care. Let's invest in that. We're gonna need more teachers for the class. Let's invest in that. Those 60,000 people were on the field here in The Hague for a reason. They want co-workers on a regular paycheck. We are not going to pay them because you want to abolish the dividend tax which is still 25% in Germany, 90% in Belgium, 30% in France and 26% in Italy. You want to go to zero! You start a tax war in favour of big business, for investors, and you take it away from the people who need it the most here in society.
ParlaMint-NL_2017-11-01-tweedekamer-3.u320	All those people in the care, education, police, defence and politics, including Mr Roemer and myself, make their money out of taxpayers' money that has to be created first. I'll pay taxes on my paycheck, but I'll get it out of the taxpayers' money first. Then you'll have to have companies to lift it. You can charge 100% tax on paper, but if a company says, "Though and thank you, I'm off," then 100% of zero is also zero and then you can't pay any nurse or police officer.
ParlaMint-NL_2017-11-01-tweedekamer-3.u321	Mr Roemer, finally.
ParlaMint-NL_2017-11-01-tweedekamer-3.u322	Then raise it. It is not just taxing the people at home; it is not just taxing small and medium-sized enterprises; it is also asking banks, large multinationals and investors. Don't go there to zero. Moreover, the Netherlands already has a fantastic investment or location climate. 80 of the 100 largest American companies are in the Netherlands. I'll add: most of them on the Zuidas.
ParlaMint-NL_2017-11-01-tweedekamer-3.u323	I would also like to keep it that they stay here, because that is what the Dutch work for.
ParlaMint-NL_2017-11-01-tweedekamer-3.u324	And so you're starting a tax war.
ParlaMint-NL_2017-11-01-tweedekamer-3.u325	For the VVD this was quite the right half towards the tax environment for business. All kinds of other measures that we have not mentioned for a moment will, on balance, lead to an increase in taxes on business. You lift it where you can lift it. If you keep sending a blue letter to an address where no one is left, you won't get paid.
ParlaMint-NL_2017-11-01-tweedekamer-3.u326	What everyone in Europe is afraid of is that there will be a tax war to get multinationals in certain countries. The Netherlands will start the tax war with this. Please, let's not get into that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u327	Do I understand now, Mr Dijkhoff, that you say that I would be happy to invest the 1.4 billion in something that I do not know what the result is when I want to give less money to community nursing, when we know what the results will be? Let me get this straight.
ParlaMint-NL_2017-11-01-tweedekamer-3.u328	No. We're gonna have more money every year to go to community nursing. What we also want is that we set up the care we need more and more in such a way that it is well delivered and that people who work in it get a decent salary and we as taxpayers do not pay too much in addition to what remains in between. Because we also want to ensure that future generations continue to provide good care and keep it affordable.
ParlaMint-NL_2017-11-01-tweedekamer-3.u329	And yet we all know that those neighborhood nurses are already at the top of their capacity and that they are already doing everything they can do. And you say to them, "Watch the place for a while and not really be there anymore." And to business, you say, please, 1.4 billion and we don't know what the result is.
ParlaMint-NL_2017-11-01-tweedekamer-3.u330	No, I'm not saying that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u331	Mr. Klaver, you've just been here.
ParlaMint-NL_2017-11-01-tweedekamer-3.u332	Mrs Arib, Chairman, I had one more question.
ParlaMint-NL_2017-11-01-tweedekamer-3.u333	I'll hold you to that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u334	Oh, yeah. Mr Dijkhoff and I clashed when it comes to dividend taxation and, in fact, the whole way you look at capital and labour. Our economic views are at odds with each other, but I would like to touch on one point, which was not so much about in Mr Dijkhoff's contribution, and that is sustainability. I note with the VVD that there is a turning point on this point and that the importance is also seen there, as the Prime Minister also stated in the government statement, that we are taking major steps in tackling climate change. One of the concrete issues mentioned in the coalition agreement is that there should be a climate law. Now there is a climate law in this Chamber, signed by five parties. Since Mr Dijkhoff spoke of the importance of cooperation, my very specific question to him is whether he is prepared to discuss it in order to see if we are also able to take that law further from the Chamber. For our part, we are ready to discuss, of course, the objectives set out therein.
ParlaMint-NL_2017-11-01-tweedekamer-3.u335	I would like to broaden the discussion and also involve those responsible in the cabinet. Then we can work on a law together. I am concerned that this law is good and that we support it in substance. I find the origin less relevant.
ParlaMint-NL_2017-11-01-tweedekamer-3.u336	Thank you.
ParlaMint-NL_2017-11-01-tweedekamer-3.u337	I promised you one question, and it's a good answer. I look forward to working together with both the VVD and the cabinet.
ParlaMint-NL_2017-11-01-tweedekamer-3.u338	Thank you.
ParlaMint-NL_2017-11-01-tweedekamer-3.u339	We will begin work after the suspension and then continue this debate.
