ParlaMint-BG_2015-09-30.u1	Hey, guys. Good afternoon. Please register. Abort registration. Second attempt.09.10 a.m. (09.11)
ParlaMint-BG_2015-09-30.u246	Madam President, I voted negatively on this text, after supporting Mr. Ivanov's previous proposal, because his previous proposal was reasonable, it was normal and it was a proposal aimed at saving lives for people and children and to raising those knowledge, skills and education of people who are going to receive books at the moment, you know that cars are almost weapons and should be consistent with those about cars. What he has now proposed, which I voted against, makes this whole proposal meaningless. This appropriation is intended to cover the financing of the European Regional Development Fund (ERDF), the European Social Fund (ERDF), the European Social Fund (ERDF), the European Agricultural Fund for Rural Development (EAFRD), the European Agricultural Fund for Rural Development (EAFRD), the European Agricultural Fund for Rural Development (EAFRD), the European Agricultural Fund for Rural Development (EAFRD), the European Agricultural Fund for Rural Development (EAFRD), the European Agricultural Fund for Rural Development (EAFRD), the European Agricultural Fund for Rural Development Mr. Ivanov, you currently have some dependence on a parliamentary group with voters just below the average educational level and are now serving their interests. Thank you.
ParlaMint-BG_2015-09-30.u247	It's a personal explanation!
ParlaMint-BG_2015-09-30.u248	Mr. Ermenkov, to offend parliamentary groups...
ParlaMint-BG_2015-09-30.u249	I said selectors, look at the transcript.
ParlaMint-BG_2015-09-30.u250	I'll run a background check on the transcript.
ParlaMint-BG_2015-09-30.u251	I didn't insult any of the parliament.
ParlaMint-BG_2015-09-30.u252	It's a personal explanation.
ParlaMint-BG_2015-09-30.u253	There was no way I couldn't get a personal explanation, Madam President, after the insult that sounded out of that tribune. My fellow Members, I say again, you can't backtrackly oblige! You cannot back-up children who have now graduated or graduated this year. That's not gonna happen. This is why it is done for children who have completed their primary education and will continue to a first high school course. We can't impose by law and reverse the date to return. What? Give all those who currently have a category of basic education, let's get them to study! This is not serious.
ParlaMint-BG_2015-09-30.u254	I shall put to the vote § 60 in its version of the Commission report, in accordance with the new item. 4 which we adopted today as a decision. We vote § 60. They voted 86 MPs: 75 against 9, abstention 2. The proposal is accepted and the new Law on pre-school and school education, as expected by three national meetings, has also been passed. Happy birthday to us! [[People from GERB become, violent applause and cheering]] REPORTER MILENA DAMYANOVA: Dear Madam President, Dear Minister, Dear colleagues! In the form of a procedure, perhaps only one sentence. I would like, on behalf of the whole Commission, to thank all my fellow Members in the parliamentary groups. Indeed, Bulgaria since 1991, thanks to our joint efforts, colleagues, has a new Law that has been expected for a long time. We also thank all the teachers and all the people who participated in the development of the Bill. Thank you. [[Extreme applause from GERB.]]
ParlaMint-BG_2015-09-30.u255	Minister Tanev wants the floor.
ParlaMint-BG_2015-09-30.u256	Madam President, ladies and gentlemen of the House! It's not just the cannery that's wrong. Unfortunately for him, the educational system is not a recipe for cooking lentils, which has been cooked in the same way for centuries. Sometimes the one who makes innovation is wrong! He couldn't possibly know the future! The question, however, is how it deals with the uncertainty of the future, whether it is just risks or opportunities. The Ministry fully supported this Law from the beginning and participated in it for a very important reason: The 1991 Law, as everyone knows, was very outdated. It was done before the Internet, before the opening of borders, was for another time. Mostly he had a different philosophy. He was going forward with a monolithic strainer, with a grille of the same measures to the different children, and we differ even by the prints of our fingers and the way we think. Children are talented, however, to a different extent. There are different parts of Bulgaria, there are different schools, different teachers. This Law begins in the opposite way not by a single, to say it by a test test, the test is such that it catches, to obtain a dispersal final, qualities of a different format or lack of qualities, but vice versa, it begins with liberalisation, with adaptation, because the student stands absolutely at the very beginning, in the very essence of this Law. We begin with the freedom of the teacher, the freedom of the parent, the freedom of the student to finally get a single result. And this result is the quality I hope! There'll be maybe two or three years to settle, there'll be some repairs, that's inevitably we have to be prepared from now on. What has been done today, however, is of a historical nature! For this reason: a deep bow to the authors of the Law! [[Applause from GERB.]] There are many authors, but we know the names of some of them. I don't want to mention them now, but let's honor them.
ParlaMint-BG_2015-09-30.u257	We won't have time until the end of the session.
ParlaMint-BG_2015-09-30.u258	In addition, I would like to congratulate, as Mrs. Damyanova did, all experts, all who participated in the Ministry! Mrs. Castreva, you're here. I would also like to congratulate, of course, the teachers and social partners, not to forget them, who stood by us all the time, criticized us and agreed with us. I hope this is a good thing, and hopefully it'll settle down properly. I will say it again in Latin: "Bene vertat" (quod agis)! "Which means: "It is better to go what we have started, regardless of the fact that we have opened our hearts to one for the Bulgarian student and the opportunities before him! Bless you! [[(Loud applause from GERB. "Shouting" (Bravo!)]]
ParlaMint-BG_2015-09-30.u259	Minister Tanev, thank you for your nice words of gratitude. Colleagues, let's hear the reports on: FIRST VOICE OF THE LAW FOR CHANGE AND CLEARANCE OF THE LAW FOR PUBLIC PROCUREMENTS. The debate tomorrow. There are three reports. I'm asking for a summary of the reports. We will first hear the report from the Committee on Legal Affairs.
ParlaMint-BG_2015-09-30.u260	Dear Madam President, honourable Members! I'd like to put it in a summary: ♪ I can't believe on the first vote on a bill amending and supplementing Public Procurement Act No 502-01-43, submitted by the Council of Ministers The sitting of the Legal Commission was held on 17 June 2015. The meeting was attended by Mr. Tomislav Donchev, Deputy Prime Minister for European Funds and Economic Policy, his team, including representatives of the Public Procurement Agency. The bill was presented by Mr. Tomislav Donchev. The submitted bill proposes an amendment to the Public Procurement Act in order to resolve urgent issues related to its implementation. The bill proposes changes in order to stop the practice of unscrupulous persons to benefit from the preferential regime provided for in art. 16d of the Law, which stimulates the participation in public procurement of specialized enterprises and cooperatives of people with disabilities. The prohibition on contracting entities to lay down requirements for the economic and financial situation, qualification and technical capabilities in respect of specialised undertakings and cooperatives with persons with disabilities is repealed. The discussion was attended by the MPs Hamid Hamid, Petar Slavov, Emil Dimitrov, Chavdar Georgiev, Desislava Atanasova. In the course of the discussion Mr Hamid noted that the proposed amendment of art. 1 in respect of the statement of foreign funds to be refined so as to avoid any problems in terms of contracts with international organisations and donor countries which have stricter rules for spending funds. Mr. Georgiev asked why the Agency's transition to the Ministry of Finance did not take place at the beginning of the new calendar year in order to change budget, states and so on. Mr. Donchev replied that a decision has already been made by the Council of Ministers and the aim is to implement the Public Procurement Strategy. Ms. Atanasova raised the question as to whether the admissions of 2014 Rules on the organisation of the work and performance of the functions of the central public procurement body have already been signed and whether any office has already applied them. After the discussion, the Committee on Legal Issues with 14 votes for the Public Procurement Act, No 502-01-43, submitted by the Council of Ministers, proposed to the National Assembly to support a first vote Draft for amendment and supplement to the Public Procurement Act.
