ParlaMint-FR_2019-11-13-O1066.u1	The next item is the discussion of the draft amending finance law for 2019 (No. 2400, 2404).
ParlaMint-FR_2019-11-13-O1066.u449	I fully agree, Mr rapporteur-general. I would simply point out that the Court of Auditors itself has pointed out the systematic underbudgeting of these appropriations and the excessive optimism of your forecasts of asylum applications – and, therefore, of the appropriations allocated to the allocation resulting therefrom.
ParlaMint-FR_2019-11-13-O1066.u450	I call Mr Eric Coquerel to support Amendment No. 67.
ParlaMint-FR_2019-11-13-O1066.u451	Through the philosophy of his answers, I have the feeling that the rapporteur-general – among other things – is a bit of a member of us. Any part of the question of the 3% precautionary reserve, which is normally intended to cover exceptional expenditure, which can be seen as it constitutes a downward adjustment variable for appropriations abolished at the end of the year. When I write my report, I consult with the Ministry of Ecological and Solidarity Transition, and no one tells me that we don't know what to do with that money that you decide to take away. Moreover, the rapporteur-general claims that such appropriations were allocated to such actions – but the PLFR says nothing about it! Let us take the example of the "Justice" mission, which is the subject of this amendment. We are told that cancellations correspond to "delays in real estate investment projects" and "control of operating appropriations". What are these real estate projects? If they have fallen behind, why are appropriations not carried over to 2020? What is this "control of operating appropriations"? In other words, we are not really told what this is about – and we should also accept that the money is not being spent? Moreover, what prevents us from reallocating these appropriations? The Assembly may decide to do so. You decide to abolish them, but nothing prevents us from reassigning them, including to posts different from those for which they were originally intended. It's a political choice.
ParlaMint-FR_2019-11-13-O1066.u452	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u453	I am afraid to always provide the same type of response, but I would remind you that in 2018, the payment appropriations consumed for the Justice Mission were 3.4% higher than in 2017, or 230 million more. This has resulted in an unprecedented level of funding. After the cancellations that you are challenging, the available appropriations that remain are 471 million euros in commitment authorisations and 332 million euros in payment appropriations. We are all aware of the needs of justice and the progress made so far cannot be denied. Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u454	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u455	Same opinion.
ParlaMint-FR_2019-11-13-O1066.u456	Mr Eric Coquerel has the floor.
ParlaMint-FR_2019-11-13-O1066.u457	Let us take the example of the cancellation of 22 million euros in the programme 182, "Judicial protection of young people", of the "Justice" mission: once again, we have very little information on the actions affected by this cancellation. Recently, the staff of the Bobigny Children's Court went on strike to protest the lack of resources. I could give examples of this type, because magistrates, clerks, prison staff and educators everywhere are missing. Associations such as Genepi or the International Prison Observatory – OIP – are constantly alerting us about their inability to carry out their reintegration mission. You can repeat the same thing to me two or three times, Mr rapporteur-general, I say to you, with all the sympathy I owe you, that you will not convince me, because you are canceling appropriations in departments where the directorates of central government are constantly complaining about the lack of money.
ParlaMint-FR_2019-11-13-O1066.u458	I call Mr Eric Coquerel to support Amendment No. 70.
ParlaMint-FR_2019-11-13-O1066.u459	It concerns the cancellation of €204 million from the research and higher education mission, which comes at a time when the French university is not doing well, where 60% of the thesis projects in the social sciences are not funded and where tomorrow's technologies would have to be considered in order to face the global competition, whose fields are nanotechnology, biotechnology, computer science and cognitive science. From this point of view, the reduction of EUR 16.6 million in the appropriations allocated to programme 190, "Research in the fields of sustainable energy, development and mobility", is another scandal, which causes misunderstanding. We propose, for all these reasons, to review the cancellations of the appropriations of the mission "Research and higher education".
ParlaMint-FR_2019-11-13-O1066.u460	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u461	Unfavorable notice: the appropriations available in 2019, after cancellations, remain more than 25 million euros in commitment authorisations and 2 million euros in payment appropriations at their 2018 level.
ParlaMint-FR_2019-11-13-O1066.u462	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u463	Last year, we had a debate with MP Bruno Fuchs, after which I made a commitment to increase the appropriations for student life by EUR 45 million, which is actually included in this budget. We have therefore allocated more money to this item of expenditure.
ParlaMint-FR_2019-11-13-O1066.u464	I call Mrs Emmanuelle Ménard to support Amendment No. 62.
ParlaMint-FR_2019-11-13-O1066.u465	It aims to transfer €10 million from programme 152, "National Gendarmerie", to programme 176, "National Police", within the Security Mission. This is a symbolic transfer, because of course I do not wish to diminish the means of the gendarmerie, which is as indispensable as the police in maintaining security in France. The amendment tends to increase the means of the police, not symbolically, in the manner of the Minister of the Interior announcing that most sensitive neighbourhoods benefit from the daily security police, while no additional means are granted,...
