ParlaMint-GB_2021-11-15-lords.u1	To ask Her Majesty’s Government when they will publish their white paper on levelling up.
ParlaMint-GB_2021-11-15-lords.u94	As we have said—I know my colleague has said this many times from this Dispatch Box—we are actively exploring the options to resolve this case, but it is not helpful in any way to connect wider bilateral issues with those arbitrarily detained in Iran. It remains in Iran’s gift to do the right thing and to allow British dual nationals home to be reunited with their families.
ParlaMint-GB_2021-11-15-lords.u95	My Lords, I have met Richard Ratcliffe and I associate myself and colleagues who have met him with the comments made by the noble Lord, Lord Foulkes. In May, the Foreign Secretary said that the treatment of Nazanin amounts to torture. There is no point in a British Government making clear assertions on the contravention of a UN convention if they do not follow through with any actions. When I asked the noble Lord, Lord Ahmad, why the Government had not formally requested that Iran investigate the accusation of torture, he said that he would ensure that it was in the Foreign Secretary’s briefing pack when she met Richard. Why have the Government not formally requested that Iran act on the convention which it is duty bound to carry through?
ParlaMint-GB_2021-11-15-lords.u96	My Lords, no one disputes that Iran’s treatment of Nazanin and others in similar circumstances is inhumane and cruel, exceeds any normal boundaries of behaviour by a state and is completely unacceptable, but I cannot add more to what my colleague the noble Lord, Lord Ahmad, said in answer to the same question just a few weeks ago.
ParlaMint-GB_2021-11-15-lords.u97	Do we owe money to Iran? If we do, why has it not been paid?
ParlaMint-GB_2021-11-15-lords.u98	My Lords, the IMS payment is a long-standing case relating to a historic debt owed to pre-revolution Iran. We continue to explore options, as I said before, to resolve this case.
ParlaMint-GB_2021-11-15-lords.u99	My Lords, I draw the attention of the House to my interests as set out in the register. I totally support what the noble Lord, Lord Foulkes, said. The behaviour of the Iranian Government in this affair is disgraceful, but the Government have not been clear. They have been very ambiguous in answering questions in the House about this issue, including, as was said, in the previous debate in which it was raised. Will the Minister confirm or deny that fear of American sanctions is preventing this money being paid?
ParlaMint-GB_2021-11-15-lords.u100	My Lords, from my vantage point, if I may couch it that way, I am absolutely certain that the premise of the noble Lord’s question and the assumption within it is not correct.
ParlaMint-GB_2021-11-15-lords.u101	My Lords, what does the Minister think Governments on both sides might have to learn from a simple prayer that was once prayed on this day in Coventry, after the destruction of the city? It is a simple prayer but a brave one; it simply says: “Father, forgive. ” It does not try to forgive the other side, or even to absolve the other side from responsibility, but it does say that, somewhere along the line, both sides, in whatever proportion, need to accept that a very deep hole has been dug and suffering people have fallen into it. In this case, there is a suffering woman at the bottom of the hole, and her husband and child. Can we not do more to accept that there is something we have a responsibility for?
ParlaMint-GB_2021-11-15-lords.u102	My Lords, I do not accept, and the Government cannot accept, that we have a responsibility for the incarceration and appalling treatment of Nazanin. This is a decision made by the Government of Iran, and one that they can reverse. Of course, we will, and we continue to, do as much as we possibly can to secure her release. That is why this issue—this appalling case—has been escalated to the highest level, not least in the form of diplomatic protection, which means that it becomes a case between states as opposed to the prior situation.
ParlaMint-GB_2021-11-15-lords.u103	My Lords, many people still do not understand the issue of the £400 million that we owe to Iran; it keeps getting raised. The Americans have paid money to the Iranian Government despite their sanctions. Can the Minister please explain clearly what is going on? Many of us who have met Richard Ratcliffe on his hunger strike outside the Foreign Office have given him an undertaking that we shall continue to press the Government. This will go on and on until the Government do something.
