ParlaMint-NL_2015-10-15-tweedekamer-14.u1	The Minister is now moving on to his last block: the future-proof energy supply.
ParlaMint-NL_2015-10-15-tweedekamer-14.u262	I come to Mrs Schouten's motion on item No. 49. It's also about social entrepreneurship. I have just said the necessary thing to Mr Vos and others who tabled a motion on this matter. It states that existing credit schemes can be better organised for social enterprises. I do not see that at the moment, but I do not rule out the fact that there is attention to this point. At the moment, I think that this is additional to what is stated in the other motion, and I have expressed my view on this point, and I am not contributing to any clarification on this point either. I'm deceiving the motion in part No. Forty-nine. In the motion in part No. 50 the government is invited to define in the new covenant with the MEE companies the agreed savings effect of 9 petajoule in terms of energy saving for companies. In the energy agreement, an additional saving of 9 petajoule has already been agreed for the MEE companies, in addition to the existing measures such as the covenant we have concluded with these companies. I don't want to change that covenant, because it's already a well-adjusted covenant. However, I would like to add that 9 petajoules, which make one-on-one agreements a success. We have created a framework for this and we are going to talk to the companies about it. I'm working on that. It is rather far-reaching for the management of these companies, but it is still necessary; all I have to think about is the Urgenda statement. I therefore say that it has no added value at the moment, which is why I reject this motion by Mrs Schouten and Mrs Dik-Faber. I'll come to the motion in part No. 51. Mrs van Tongeren is constantly going one step further in the direction she considers desirable, which leads to the objective she wants to achieve. I agree with her that there should simply be clarity about the acquisition of homes, the demolition of homes and the offering of new homes to people in Groningen. I already promised her that. Now she says: but then you have to record it all at municipal level. That way we can go one step further each time. I think what I said about it is actually enough. I thought a long way with her, because I agreed with her. She now proposes to go further and to do so by municipality. If that proves to have added value at some point, I am quite prepared to do so, but I think it is too early to make a statement from the Chamber on this matter. That is why I would suggest to Mrs Van Tongeren and Mr Vos that this point should be dropped and that this motion should be retained. They can then see what I am going to make of it, also in the context of the multiannual programme that the National Coordinator comes with. If that is not enough, they can still refer that ruling to the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u263	I was pleased with the Minister's commitment, but he saw the provision of information to the Chamber. He was going to let us know what the situation was, but I was mainly concerned about the unrest in Groningen. Indian stories may well be created about families being evacuated and houses being demolished again. That unrest can be removed, because that information is present in Groningen. People just don't find that out easy. Journalists do, they check cases and say: that is true and not there. If that information is more easily unlocked for the Groningers themselves, you take away a lot of unrest. That municipal level is in there, because I have heard that sometimes because of privacy it is not allowed to say that it was in that or that street in or in that small village. You can't do that under the privacy rules. I came up with this because it's not allowed by village. If you make it clear that in municipality X a home has been evacuated or a family evacuated, you do not cross the privacy rules. That is the intention of this motion.
ParlaMint-NL_2015-10-15-tweedekamer-14.u264	I would like to return to the Minister's suggestion that this motion be retained. Will you allow that to depend on the Minister's reply?
ParlaMint-NL_2015-10-15-tweedekamer-14.u265	I'm not ruling out that this is the best way. What Mrs Van Tongeren says seems reasonable to me. If I inform the Chamber, I can also make that information accessible to Groningen in an easy way. This could be done via an existing website. I do not exclude the municipal level in advance, but I would ask the Chamber to give me the opportunity to elaborate on this. This will also be done within the framework of the multiannual programme. I think it would be wise for Mrs Van Tongeren to continue the motion. Then, once she has received the results of my work, she can see if it is still necessary to make this statement. That seems to me to be more sensible than making this statement already. I think we'll get farther if the motion is held.
ParlaMint-NL_2015-10-15-tweedekamer-14.u266	Does this explanatory statement give reason to hold the motion?
ParlaMint-NL_2015-10-15-tweedekamer-14.u267	No, because there's been trouble for three years. I don't think this is such a difficult question. Hans Alders doesn't have to meet for so long and think about taking care of this. So I would like to know whether my colleagues in the House of Representatives find this information or whether Groningers are entitled to it.
ParlaMint-NL_2015-10-15-tweedekamer-14.u268	Then the Minister remains the motion in part No. 51, therefore, dissuade them.
ParlaMint-NL_2015-10-15-tweedekamer-14.u269	I agree with you, Mr President. I come to the Van Tongeren motion on part No. 52. It calls on the government to provide insight into the impact of climate change on the value of fossil investment for the Dutch economy through a relevant publication, e.g. the budget of the Ministry of Economic Affairs. So that's what companies see. I think it is up to the companies that invest in the exploitation of fossil energy to do so. I am also pleased that companies are investing in this because it is necessary to keep our world going. For our economy, our jobs and our prosperity, it is still necessary for the time being to obtain adequate amounts of fossil energy. In order for that to be won and used responsibly, it is necessary to invest in it. So I think it is up to those companies themselves to make the investments they are making transparent. The EZ budget is about the revenue and expenditure of the Ministry and not about Shell, Exxon Mobil or any oil company. We are shareholders of EBN, but it has no fossil reserves on its balance sheet. So I see no need and no point of reference to report on this in the EZ budget. That is why I advise against the motion in part No. 52 by Mrs Van Tongeren.
ParlaMint-NL_2015-10-15-tweedekamer-14.u270	I'd like a brief response, Mrs. Van Tongeren.
ParlaMint-NL_2015-10-15-tweedekamer-14.u271	I have one more question. The Minister started the budgetary treatment with a small reflection on the state of the Dutch economy. This is seen by several central bank governors as a risk to the economy. The question is whether the Minister would like to comment annually on his estimates of this risk. That does not necessarily have to be done in the budget, it may also be done in one of the many other reports and monitors we receive. There's a threat to the Dutch economy, whether you like it or not. My question is whether the Minister would like to give his views on this.
ParlaMint-NL_2015-10-15-tweedekamer-14.u272	Does this interpretation lead to an amendment of the opinion on this motion?
ParlaMint-NL_2015-10-15-tweedekamer-14.u273	No. I advise the motion, but it is not that I would not be prepared to share with the Chamber my views on this interesting subject on an occasion and to discuss it with it. It's not like that.
