ParlaMint-NL_2016-09-29-tweedekamer-5.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-09-29-tweedekamer-5.u153	Mrs Leijten, I doubt whether I will give you the floor. I have a tendency to have the Secretary of State explain first what he's up to and then give you the opportunity to interrupt. How would you feel about that?
ParlaMint-NL_2016-09-29-tweedekamer-5.u154	Can we get that timeline? That was actually my question.
ParlaMint-NL_2016-09-29-tweedekamer-5.u155	It's possible. We have agreed that we will have a debate on this with each other. I'll give the Chamber that plan at the end of October, including time schedule and foreseeable costs.
ParlaMint-NL_2016-09-29-tweedekamer-5.u156	Please continue, Mrs Leijten.
ParlaMint-NL_2016-09-29-tweedekamer-5.u157	I feel like that time frame is already there. We are told that 2020 is now the starting point. We just haven't seen it yet. I therefore ask the Secretary of State: is it true that it is assumed to be operable by 2020? If not, what acceleration does the Secretary of State see in front of him? Couldn't we start from 1 January 2018?
ParlaMint-NL_2016-09-29-tweedekamer-5.u158	You keep saying "20-20." You mean "2020."
ParlaMint-NL_2016-09-29-tweedekamer-5.u159	I do mean "2020," Mr President. Thank you.
ParlaMint-NL_2016-09-29-tweedekamer-5.u160	"2020" has not heard from me by Mrs Leijten. It is not possible, because we have agreed that I will present the moment to the Chamber by means of a plan. My ambition extends further. I just said that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u161	So the 2020 timetable is wrong, says the Secretary of State. His ambitions extend further. Are we going to start from 1 January 2018? Can the Secretary of State answer in the affirmative?
ParlaMint-NL_2016-09-29-tweedekamer-5.u162	I'm going to go into that in detail later. We agreed with each other that I would present to the Chamber at the end of October, beginning of November, that plan, in which I deal with the costs, the timetable and the way in which we are going to implement the portal. "As soon as possible" is very sweet to me. If you can do it on January 1, 2018, it's even better for me. "2020" doesn't come from me. The Chamber hasn't heard that from me either. I will present to the Chamber a plan in which I will correctly express the timetable, the realization and our efforts.
ParlaMint-NL_2016-09-29-tweedekamer-5.u163	It would have been nice if it had already become a little clearer in this debate. The only thing that makes sense is that we're still getting it.
ParlaMint-NL_2016-09-29-tweedekamer-5.u164	The Secretary of State just said: I will come back to it in detail, I will explain it later.
ParlaMint-NL_2016-09-29-tweedekamer-5.u165	But on the question of whether it will be 1 January 2018, he unfortunately cannot give a positive answer. That's too bad.
